Intruder_Type,Adaptation_Factor,Success_Rate,Sample_Count
combined,0.85,0.3,20
combined,0.86,0.0,50
combined,0.87,0.014285714285714285,70
combined,0.88,0.0,20
combined,0.89,0.0,50
combined,0.9,0.0,70
combined,0.91,0.016666666666666666,60
combined,0.92,0.0,70
combined,0.93,0.07777777777777778,90
combined,0.94,0.0,30
combined,0.95,0.1,10
combined,0.96,0.0,70
combined,0.97,0.03,100
combined,0.98,0.0,80
combined,0.99,0.0,80
combined,1.0,0.025,40
movement,0.85,0.00909090909090909,110
movement,0.86,0.09090909090909091,110
movement,0.87,0.0,80
movement,0.88,0.007692307692307693,130
movement,0.89,0.03333333333333333,90
movement,0.9,0.03076923076923077,130
movement,0.91,0.06,150
movement,0.92,0.041666666666666664,120
movement,0.93,0.0,100
movement,0.94,0.016666666666666666,60
movement,0.95,0.007142857142857143,140
movement,0.96,0.016666666666666666,120
movement,0.97,0.0,140
movement,0.98,0.0,70
movement,0.99,0.0625,160
movement,1.0,0.0375,80
physical,0.85,0.15,60
physical,0.86,0.0875,80
physical,0.87,0.07142857142857142,140
physical,0.88,0.02727272727272727,110
physical,0.89,0.12307692307692308,130
physical,0.9,0.11,100
physical,0.91,0.06,100
physical,0.92,0.225,80
physical,0.93,0.2727272727272727,110
physical,0.94,0.05,120
physical,0.95,0.14615384615384616,130
physical,0.96,0.06666666666666667,120
physical,0.97,0.0,150
physical,0.98,0.14285714285714285,140
physical,0.99,0.07142857142857142,140
physical,1.0,0.0,80
