Intruder_Type,Adaptation_Factor,Success_Rate,Sample_Count
combined,0.85,0.5,20
combined,0.86,0.0,50
combined,0.87,0.02857142857142857,70
combined,0.88,0.0,20
combined,0.89,0.04,50
combined,0.9,0.014285714285714285,70
combined,0.91,0.0,60
combined,0.92,0.04285714285714286,70
combined,0.93,0.05555555555555555,90
combined,0.94,0.0,30
combined,0.95,0.0,10
combined,0.96,0.0,70
combined,0.97,0.01,100
combined,0.98,0.0,80
combined,0.99,0.0,80
combined,1.0,0.0,40
movement,0.85,0.00909090909090909,110
movement,0.86,0.01818181818181818,110
movement,0.87,0.0375,80
movement,0.88,0.0,130
movement,0.89,0.022222222222222223,90
movement,0.9,0.007692307692307693,130
movement,0.91,0.02,150
movement,0.92,0.0,120
movement,0.93,0.01,100
movement,0.94,0.06666666666666667,60
movement,0.95,0.007142857142857143,140
movement,0.96,0.041666666666666664,120
movement,0.97,0.0,140
movement,0.98,0.02857142857142857,70
movement,0.99,0.08125,160
movement,1.0,0.025,80
physical,0.85,0.0,60
physical,0.86,0.125,80
physical,0.87,0.0,140
physical,0.88,0.0,110
physical,0.89,0.07692307692307693,130
physical,0.9,0.1,100
physical,0.91,0.1,100
physical,0.92,0.1375,80
physical,0.93,0.00909090909090909,110
physical,0.94,0.08333333333333333,120
physical,0.95,0.14615384615384616,130
physical,0.96,0.08333333333333333,120
physical,0.97,0.0,150
physical,0.98,0.007142857142857143,140
physical,0.99,0.1,140
physical,1.0,0.0,80
