Target_User_ID,Base_User_ID,Intruder_Type,Adaptation_Factor,Authentication_Success,Confidence,Game_Type,Time_Interval
13,10,physical,0.88,False,0.21,beat_saber,1
13,10,physical,0.88,False,0.16,beat_saber,2
13,10,physical,0.88,False,0.22,beat_saber,3
13,10,physical,0.88,False,0.2,beat_saber,4
13,10,physical,0.88,False,0.2,beat_saber,5
13,10,physical,0.88,False,0.18,beat_saber,6
13,10,physical,0.88,False,0.15,beat_saber,7
13,10,physical,0.88,False,0.2,beat_saber,8
13,10,physical,0.88,False,0.23,beat_saber,9
13,10,physical,0.88,False,0.22,beat_saber,10
14,10,physical,0.93,False,0.23,beat_saber,1
14,10,physical,0.93,False,0.21,beat_saber,2
14,10,physical,0.93,False,0.25,beat_saber,3
14,10,physical,0.93,False,0.27,beat_saber,4
14,10,physical,0.93,False,0.23,beat_saber,5
14,10,physical,0.93,False,0.23,beat_saber,6
14,10,physical,0.93,False,0.22,beat_saber,7
14,10,physical,0.93,False,0.24,beat_saber,8
14,10,physical,0.93,False,0.2,beat_saber,9
14,10,physical,0.93,False,0.25,beat_saber,10
16,10,physical,1.0,False,0.33,beat_saber,1
16,10,physical,1.0,False,0.29,beat_saber,2
16,10,physical,1.0,False,0.32,beat_saber,3
16,10,physical,1.0,False,0.34,beat_saber,4
16,10,physical,1.0,False,0.33,beat_saber,5
16,10,physical,1.0,False,0.29,beat_saber,6
16,10,physical,1.0,False,0.24,beat_saber,7
16,10,physical,1.0,False,0.32,beat_saber,8
16,10,physical,1.0,False,0.34,beat_saber,9
16,10,physical,1.0,False,0.33,beat_saber,10
17,10,physical,0.99,False,0.13,beat_saber,1
17,10,physical,0.99,False,0.19,beat_saber,2
17,10,physical,0.99,False,0.14,beat_saber,3
17,10,physical,0.99,False,0.15,beat_saber,4
17,10,physical,0.99,False,0.14,beat_saber,5
17,10,physical,0.99,False,0.19,beat_saber,6
17,10,physical,0.99,False,0.15,beat_saber,7
17,10,physical,0.99,False,0.17,beat_saber,8
17,10,physical,0.99,False,0.16,beat_saber,9
17,10,physical,0.99,False,0.18,beat_saber,10
24,10,physical,0.97,False,0.25,beat_saber,1
24,10,physical,0.97,False,0.26,beat_saber,2
24,10,physical,0.97,False,0.24,beat_saber,3
24,10,physical,0.97,False,0.3,beat_saber,4
24,10,physical,0.97,False,0.26,beat_saber,5
24,10,physical,0.97,False,0.28,beat_saber,6
24,10,physical,0.97,False,0.29,beat_saber,7
24,10,physical,0.97,False,0.23,beat_saber,8
24,10,physical,0.97,False,0.27,beat_saber,9
24,10,physical,0.97,False,0.33,beat_saber,10
