Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadOrientationX_75%,0.38902994750679265,0.03584034867010482,0.5347450507987218,0.023474057920459555,,,0.059933597879135644,0.14571510329192916,
HeadOrientationX_mean,0.41150936133912996,0.03644710925803254,0.5500719019343913,0.024202492597638476,,,0.040594703219643063,0.1385625405952613,
HeadOrientationX_50%,0.43592382422646203,0.03373206930801604,0.5683394335273722,0.02245062367336019,,,0.037664957837162005,0.13241560930091012,
HeadPosY_50%,0.780689522706831,0.014962168427269756,0.961352803116456,0.019950191873818458,,,0.0372914184386497,0.18066328040962498,
distance_RightTouch_to_Head_50%,0.45202637778615345,0.0951252562232497,0.7782104244760351,0.0531947649155423,,,0.03155923526805306,0.3261840466898816,
HeadOrientationX_25%,0.4728888223963978,0.0359533250717369,0.5975384407202661,0.027046873562911335,,,0.02896047026688635,0.12464961832386828,
HeadPosY_75%,0.731391349851214,0.014466923189261325,0.9423193676794868,0.006209733964137294,,,0.0258270556252948,0.21092801782827275,
distance_RightTouch_to_Head_25%,0.38310533427640325,0.10883494630932421,0.7145614141819793,0.09628380373099629,,,0.025500059344002745,0.331456079905576,
distance_RightTouch_to_Head_mean,0.507579727673543,0.09226909215218866,0.8196030415123666,0.05770561931995103,,,0.0214503138229187,0.31202331383882365,
HeadOrientationW_min,0.8907922373149046,0.23094438423575214,0.04641199659630311,0.1361439448654397,,,0.019915638563587704,0.8443802407186015,
