Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadOrientationX_mean,0.41150936133912996,0.03644710925803254,0.5500719019343913,0.024202492597638476,,,0.05071325163743099,0.1385625405952613,
distance_RightTouch_to_Head_25%,0.38310533427640325,0.10883494630932421,0.7145614141819793,0.09628380373099629,,,0.04453076572689137,0.331456079905576,
HeadOrientationX_75%,0.38902994750679265,0.03584034867010482,0.5347450507987218,0.023474057920459555,,,0.041272042917162306,0.14571510329192916,
distance_RightTouch_to_Head_50%,0.45202637778615345,0.0951252562232497,0.7782104244760351,0.0531947649155423,,,0.03413643378675347,0.3261840466898816,
HeadOrientationX_50%,0.43592382422646203,0.03373206930801604,0.5683394335273722,0.02245062367336019,,,0.03276506649047226,0.13241560930091012,
HeadOrientationW_min,0.8907922373149046,0.23094438423575214,0.04641199659630311,0.1361439448654397,,,0.031621519496369335,0.8443802407186015,
HeadOrientationX_25%,0.4728888223963978,0.0359533250717369,0.5975384407202661,0.027046873562911335,,,0.027962944133603677,0.12464961832386828,
distance_LeftTouch_to_Head_50%,0.5225004856144965,0.11802505085536454,0.8452595318571865,0.0676705757285585,,,0.025812918074911394,0.32275904624269003,
HeadOrientationW_75%,0.9433342065616463,0.15406439695423296,0.08281013672290236,0.19900145827264448,,,0.02486092743511139,0.860524069838744,
distance_RightTouch_to_Head_mean,0.507579727673543,0.09226909215218866,0.8196030415123666,0.05770561931995103,,,0.02252131386486477,0.31202331383882365,
