User_ID,Game_Type,Train_Size,Train_Genuine,Train_Impostor,Test_Size,Test_Genuine,Test_Impostor_New_IDs,Test_Impostor_Train_IDs,Train_Genuine_Before_SMOTE,Train_Impostor_Before_SMOTE,Train_Genuine_After_SMOTE,Train_Impostor_After_SMOTE,SMOTE_Applied
0,beat_saber,146,48,98,34,12,11,11,48,98,98,98,True
1,beat_saber,150,48,102,30,12,6,12,48,102,102,102,True
2,beat_saber,146,48,98,34,12,11,11,48,98,98,98,True
3,beat_saber,148,48,100,32,12,8,12,48,100,100,100,True
4,beat_saber,146,48,98,34,12,11,11,48,98,98,98,True
5,beat_saber,144,48,96,36,12,13,11,48,96,96,96,True
6,beat_saber,148,48,100,32,12,8,12,48,100,100,100,True
7,beat_saber,152,48,104,28,12,4,12,48,104,104,104,True
8,beat_saber,141,48,93,39,12,16,11,48,93,93,93,True
9,beat_saber,145,48,97,35,12,12,11,48,97,97,97,True
10,beat_saber,147,48,99,33,12,9,12,48,99,99,99,True
11,beat_saber,148,48,100,32,12,8,12,48,100,100,100,True
12,beat_saber,141,48,93,39,12,16,11,48,93,93,93,True
13,beat_saber,149,48,101,31,12,7,12,48,101,101,101,True
14,beat_saber,144,48,96,36,12,13,11,48,96,96,96,True
15,beat_saber,150,48,102,30,12,6,12,48,102,102,102,True
16,beat_saber,148,48,100,32,12,8,12,48,100,100,100,True
17,beat_saber,151,48,103,29,12,5,12,48,103,103,103,True
18,beat_saber,149,48,101,31,12,7,12,48,101,101,101,True
19,beat_saber,150,48,102,30,12,6,12,48,102,102,102,True
20,beat_saber,145,48,97,35,12,12,11,48,97,97,97,True
21,beat_saber,152,48,104,28,12,4,12,48,104,104,104,True
22,beat_saber,152,48,104,28,12,4,12,48,104,104,104,True
23,beat_saber,151,48,103,29,12,5,12,48,103,103,103,True
24,beat_saber,152,48,104,28,12,4,12,48,104,104,104,True
25,beat_saber,147,48,99,33,12,9,12,48,99,99,99,True
26,beat_saber,152,48,104,28,12,4,12,48,104,104,104,True
27,beat_saber,153,48,105,27,12,3,12,48,105,105,105,True
28,beat_saber,148,48,100,32,12,8,12,48,100,100,100,True
29,beat_saber,147,48,99,33,12,10,11,48,99,99,99,True
