User_ID,Game_Type,Train_Size,Train_Genuine,Train_Impostor,Test_Size,Test_Genuine,Test_Impostor_New_IDs,Test_Impostor_Train_IDs,Train_Genuine_Before_SMOTE,Train_Impostor_Before_SMOTE,Train_Genuine_After_SMOTE,Train_Impostor_After_SMOTE,SMOTE_Applied
30,forklift_simulator,147,48,99,33,12,9,12,48,99,99,99,True
31,forklift_simulator,146,48,98,34,12,11,11,48,98,98,98,True
32,forklift_simulator,144,48,96,36,12,13,11,48,96,96,96,True
33,forklift_simulator,149,48,101,31,12,7,12,48,101,101,101,True
34,forklift_simulator,149,48,101,31,12,7,12,48,101,101,101,True
35,forklift_simulator,151,48,103,29,12,5,12,48,103,103,103,True
36,forklift_simulator,147,48,99,33,12,9,12,48,99,99,99,True
37,forklift_simulator,147,48,99,33,12,9,12,48,99,99,99,True
38,forklift_simulator,150,48,102,30,12,6,12,48,102,102,102,True
39,forklift_simulator,146,48,98,34,12,11,11,48,98,98,98,True
40,forklift_simulator,148,48,100,32,12,8,12,48,100,100,100,True
41,forklift_simulator,150,48,102,30,12,6,12,48,102,102,102,True
42,forklift_simulator,151,48,103,29,12,5,12,48,103,103,103,True
43,forklift_simulator,148,48,100,32,12,8,12,48,100,100,100,True
44,forklift_simulator,147,48,99,33,12,9,12,48,99,99,99,True
45,forklift_simulator,149,48,101,31,12,7,12,48,101,101,101,True
46,forklift_simulator,149,48,101,31,12,7,12,48,101,101,101,True
47,forklift_simulator,147,48,99,33,12,10,11,48,99,99,99,True
48,forklift_simulator,150,48,102,30,12,6,12,48,102,102,102,True
49,forklift_simulator,148,48,100,32,12,8,12,48,100,100,100,True
50,forklift_simulator,147,48,99,33,12,10,11,48,99,99,99,True
51,forklift_simulator,151,48,103,29,12,5,12,48,103,103,103,True
52,forklift_simulator,152,48,104,28,12,4,12,48,104,104,104,True
53,forklift_simulator,147,48,99,33,12,9,12,48,99,99,99,True
54,forklift_simulator,153,48,105,27,12,3,12,48,105,105,105,True
55,forklift_simulator,150,48,102,30,12,6,12,48,102,102,102,True
56,forklift_simulator,147,48,99,33,12,10,11,48,99,99,99,True
57,forklift_simulator,150,48,102,30,12,6,12,48,102,102,102,True
58,forklift_simulator,151,48,103,29,12,5,12,48,103,103,103,True
59,forklift_simulator,147,48,99,33,12,10,11,48,99,99,99,True
