Feature,Average_Importance
HeadPosY_50%,0.03399224988289633
HeadPosY_max,0.025486481018125316
HeadPosY_25%,0.02402042054858278
HeadPosY_mean,0.02040677246785623
HeadPosY_75%,0.019668113783517075
HeadOrientationX_75%,0.012991878356441526
distance_RightTouch_to_Head_max,0.01203889830714331
HeadOrientationX_mean,0.011812018156596273
HeadPosY_min,0.010615641650382587
HeadOrientationW_75%,0.010120010408332446
LeftTouchPosY_mean,0.009926808361300136
RightTouchPosY_25%,0.009048021505910402
HeadOrientationX_50%,0.008984833042979246
HeadPosZ_75%,0.008314638329842184
HeadOrientationW_min,0.008191389430249406
LeftTouchPosY_25%,0.00800322859011886
HeadPosX_max,0.007843552442502894
HeadPosX_mean,0.007835820143584221
HeadPosZ_50%,0.007361891376765181
LeftTouchPosX_50%,0.007333415791744107
distance_LeftTouch_to_Head_max,0.0071924626776364315
HeadOrientationW_50%,0.007078440961054002
HeadOrientationY_50%,0.006988290254050999
HeadOrientationZ_50%,0.006972625274650493
HeadPosX_min,0.006901852825671434
distance_LeftTouch_to_Head_50%,0.006892782625309857
distance_LeftTouch_to_Head_75%,0.006752810549755935
LeftTouchPosZ_mean,0.006436497540311561
distance_RightTouch_to_Head_50%,0.006381788967339078
distance_LeftTouch_to_Head_mean,0.00625830438280497
LeftTouchPosZ_75%,0.006194051857973213
LeftTouchOrientationW_min,0.006053963534200237
HeadOrientationY_mean,0.006027313517763809
RightTouchOrientationY_mean,0.0060033810093758485
HeadOrientationW_25%,0.005966908786303774
RightTouchPosX_50%,0.005932017829942794
HeadOrientationX_25%,0.005917259785889279
RightTouchOrientationY_min,0.005881300894734559
LeftTouchPosX_75%,0.005834361691033189
RightTouchOrientationW_25%,0.005695429937534507
RightTouchPosY_mean,0.005691999629120447
HeadOrientationX_min,0.005682393957262846
HeadOrientationZ_mean,0.005599161392054927
RightTouchOrientationW_min,0.005594826044852149
RightTouchPosZ_mean,0.005465998382663305
RightTouchPosZ_25%,0.005374906274911077
HeadPosZ_25%,0.005341293156412784
LeftTouchPosZ_max,0.00531663298757925
Head_OrientationAccelY_std,0.005232445095837705
distance_LeftTouch_to_Head_25%,0.005154198437774317
LeftTouchPosY_min,0.005049471268125516
LeftTouchPosY_75%,0.005024161398676215
HeadOrientationY_25%,0.004979228198817271
HeadPosX_25%,0.004957254131457293
HeadPosZ_max,0.004765542670213083
HeadPosX_50%,0.004708377867599603
LeftTouchOrientationW_50%,0.004637844351664854
HeadPosZ_min,0.004625887144788129
HeadOrientationW_max,0.004612562444505072
Head_OrientationAccelY_25%,0.004501707117581866
HeadPosX_75%,0.0044360714134380995
distance_RightTouch_to_Head_75%,0.004424799604973554
HeadOrientationZ_25%,0.0044196064172962
RightTouchPosZ_50%,0.004419569266767335
RightTouchOrientationX_75%,0.004388017343268505
LeftTouchPosX_mean,0.004328723017356769
RightTouchOrientationX_50%,0.004277120711247752
distance_RightTouch_to_Head_mean,0.004270018328615963
HeadOrientationZ_75%,0.004248735256254468
RightTouchPosY_min,0.004068158874839839
LeftTouchPosY_50%,0.004061894980490022
RightTouchOrientationY_50%,0.004053060512929914
HeadOrientationW_mean,0.004026542367992622
RightTouchPosX_75%,0.003914183566670729
LeftTouchPosX_25%,0.003896410550589988
LeftTouchOrientationX_50%,0.003879035955887014
LeftTouchOrientationX_75%,0.0038707289135026194
LeftTouchPosY_max,0.0038463672156094043
LeftTouchOrientationY_25%,0.003845066098712924
RightTouchPosX_mean,0.0038409584720466307
HeadOrientationY_max,0.0038211021663590024
Head_OrientationVelocityZ_std,0.003781306832593675
HeadOrientationY_min,0.0037372355752243827
HeadPosZ_mean,0.0037257961632737083
Head_OrientationAccelZ_min,0.003697934771099549
RightTouchPosX_25%,0.003631366405289527
Accel_RightTouchPosY_min,0.0036103290360286542
RightTouchOrientationX_max,0.003561373286018557
HeadOrientationX_max,0.003556747536923199
RightTouchOrientationX_mean,0.003552967178516435
LeftTouchOrientationZ_75%,0.003551304925018823
distance_RightTouch_to_Head_25%,0.0035034579728151264
LeftTouchOrientationY_50%,0.0034169130644322297
RightTouchPosZ_min,0.0034145438765774304
Accel_RightTouchPosZ_max,0.00341074099439588
LeftTouchPosX_max,0.0033250182084956117
RightTouchOrientationX_25%,0.003300265189757263
LeftTouchOrientationX_mean,0.0032652971252959324
LeftTouchPosZ_25%,0.0032625681778462798
RightTouchOrientationX_min,0.003246752936737615
distance_LeftTouch_to_Head_min,0.0032398558931280874
Accel_HeadPosX_75%,0.0032388109087838606
LeftTouchPosZ_min,0.003193355065055244
RightTouchPosY_75%,0.003043319832524408
HeadOrientationY_75%,0.0030278437892070843
Head_OrientationAccelZ_max,0.003023759496814631
HeadOrientationZ_max,0.0030120421692242634
distance_LeftTouch_to_RightTouch_25%,0.002920602838262497
LeftTouchPosX_min,0.0028949565539400524
Accel_HeadPosX_max,0.002858946094769267
LeftTouchOrientationW_mean,0.0028574047734409246
RightTouchOrientationY_75%,0.0027804531243025296
angle_RightTouch_to_Head_mean,0.002757573877572916
RightTouchPosY_50%,0.002665663381263029
HeadOrientationZ_std,0.002653942703590225
RightTouchPosX_min,0.002642613755602097
RightTouchOrientationZ_25%,0.002627400742830177
angle_RightTouch_to_Head_25%,0.0026238147492953275
LeftTouchOrientationW_75%,0.0026186941316006488
LeftTouchOrientationZ_50%,0.002615777486841975
Accel_HeadPosZ_min,0.0026127926560089
LeftTouchOrientationZ_mean,0.0026053417961375354
Head_OrientationAccelX_min,0.0025721041545824926
distance_RightTouch_to_Head_min,0.002570959608687766
RightTouchOrientationW_max,0.0025325371499527946
Head_OrientationAccelY_max,0.002491616034331338
Accel_RightTouchPosY_max,0.0024885718834246505
RightTouchPosZ_75%,0.0024865338296974305
LeftTouchOrientationY_mean,0.0024717523008618955
LeftTouchOrientationY_75%,0.002464965838056153
Accel_HeadPosY_min,0.0024586978426668475
RightTouchOrientationZ_75%,0.0024372176949382196
Head_OrientationAccelY_min,0.002418374356072721
LeftTouchOrientationZ_min,0.0023659114745344595
Head_OrientationAccelX_std,0.0023558314064621435
RightTouchOrientationY_max,0.002351392308549435
Head_OrientationVelocityX_75%,0.002349103233709685
Accel_RightTouchPosY_std,0.0023346472731046166
RightTouchOrientationW_mean,0.00229152726827364
RightTouchPosX_max,0.0022479608089542896
Accel_HeadPosY_max,0.0022458512492774755
Accel_HeadPosY_std,0.002219901980447666
RightTouch_OrientationVelocityZ_std,0.00220909369380302
Accel_RightTouchPosX_min,0.002199497051094742
RightTouch_Velocity_std,0.0021964291084680667
Head_OrientationAccelX_25%,0.002160503255261796
RightTouch_OrientationAccelX_std,0.002157399090388594
RightTouchOrientationZ_50%,0.0021541065211364624
angle_LeftTouch_to_Head_25%,0.002149173096343759
Velocity_RightTouchPosY_std,0.002111255893417516
angle_LeftTouch_to_Head_50%,0.0021103957273242067
angle_LeftTouch_to_Head_mean,0.0020442889545654605
RightTouchOrientationX_std,0.002022207322622455
RightTouch_OrientationAccelX_min,0.002010147448227624
RightTouch_OrientationAccelY_min,0.002008523984028877
RightTouch_Velocity_max,0.0020059277334495812
Head_OrientationVelocityZ_min,0.0019952738737083536
Accel_LeftTouchPosZ_min,0.0019396099073307666
angle_RightTouch_to_Head_min,0.001925967140237602
LeftTouchOrientationZ_std,0.0018885628443601138
angle_LeftTouch_to_Head_min,0.001866611645063482
distance_RightTouch_to_Head_std,0.0018296388654738904
distance_LeftTouch_to_Head_std,0.0018240449467100863
RightTouchOrientationY_25%,0.0018094331980665795
distance_LeftTouch_to_RightTouch_min,0.0018085424401125022
Head_OrientationAccelZ_75%,0.0017907215870828258
LeftTouch_OrientationVelocityZ_min,0.0017730930210319597
RightTouch_OrientationVelocityY_max,0.0017539830825338742
RightTouch_OrientationAccelY_max,0.001747776597996436
LeftTouch_Velocity_max,0.0017200295636959583
RightTouchOrientationW_std,0.001713506262745413
RightTouchOrientationZ_mean,0.0017089351367142597
angle_LeftTouch_to_Head_max,0.0016818252129644031
Accel_RightTouchPosZ_min,0.0016608364545242814
angle_RightTouch_to_Head_75%,0.0016578106645852822
angle_LeftTouch_to_RightTouch_50%,0.001654398030956498
Head_OrientationAccelX_75%,0.0016458110753839285
Accel_LeftTouchPosY_50%,0.0016346348899122969
RightTouchPosY_max,0.001624721251257366
RightTouch_OrientationAccelZ_max,0.001624082940239742
Head_OrientationAccelX_max,0.0016127101787158022
Accel_RightTouchPosZ_std,0.0015829839039430656
Accel_HeadPosX_25%,0.0015166144530986247
LeftTouch_OrientationVelocityX_min,0.0014763590133651547
Accel_HeadPosZ_max,0.001473264358364224
LeftTouchOrientationZ_25%,0.001458579310044007
Head_OrientationVelocityZ_max,0.0014492606713083958
LeftTouchOrientationX_max,0.0014492056174686093
Accel_HeadPosX_std,0.001445062166854361
HeadOrientationZ_min,0.0014388505448450254
RightTouchPosZ_max,0.0014330761019117628
angle_LeftTouch_to_RightTouch_75%,0.0014270816486288925
LeftTouch_OrientationAccelX_max,0.0014090752395875196
LeftTouchOrientationY_min,0.001407962842904545
Head_OrientationAccelZ_std,0.0014076533187200153
LeftTouchOrientationX_25%,0.0013897444154284783
Head_OrientationAccelY_75%,0.0013873311822379917
LeftTouch_OrientationVelocityZ_max,0.0013694295530595833
