Feature,Average_Importance
HeadPosY_25%,0.027627951216103914
HeadPosY_75%,0.025142313712267186
HeadPosY_50%,0.024532305239887996
direction_count_ul,0.02031975887817874
HeadPosY_max,0.018218604933990405
size_rate_50%,0.01746278499164583
HeadPosY_mean,0.015593827633933301
size_rate_25%,0.015049980763635036
size_rate_mean,0.014165599855450527
HeadOrientationX_75%,0.011463309052145676
size_mean,0.01130085444601232
HeadOrientationX_50%,0.010983269416091047
distance_LeftTouch_to_Head_max,0.010897933449621236
direction_count_dl,0.010683005461899573
size_rate_std,0.010330877518824558
HeadOrientationX_25%,0.010246323913485978
size_rate_75%,0.009779246465110093
size_std,0.008962048815392814
LeftTouchPosX_mean,0.00880787651924175
distance_RightTouch_to_Head_mean,0.008631108276295785
LeftTouchOrientationY_75%,0.008499984228112233
RightTouchPosX_50%,0.008441134872008767
size_rate_max,0.008278982994355536
HeadPosZ_min,0.008162219732901868
HeadOrientationX_mean,0.008073632277015906
distance_LeftTouch_to_Head_mean,0.007020533651092797
HeadOrientationW_mean,0.007002973930051177
HeadPosZ_50%,0.0067604486553855545
LeftTouchPosZ_mean,0.006749895005524445
HeadOrientationW_50%,0.006501162177570353
HeadPosY_min,0.006492057770028646
HeadOrientationY_25%,0.006418668000012392
RightTouchPosX_mean,0.0063982970727266145
distance_LeftTouch_to_Head_25%,0.0062653392619142255
HeadPosX_mean,0.00616846440189914
HeadPosZ_75%,0.0060610295369837855
HeadPosZ_mean,0.005976624908133963
distance_RightTouch_to_Head_50%,0.005879499375370233
HeadOrientationX_max,0.00578881783128792
LeftTouchPosY_75%,0.0057519772506137235
HeadOrientationY_min,0.005737747786931105
LeftTouchPosX_25%,0.005708822266591767
LeftTouchPosZ_25%,0.005387769449287457
HeadPosX_min,0.005316990513374305
LeftTouchPosX_max,0.005301880565040382
HeadPosX_75%,0.005251525494925374
HeadPosX_25%,0.005193747499536146
HeadOrientationW_min,0.0051834678665816335
LeftTouchPosY_25%,0.005084188952437482
RightTouchOrientationW_50%,0.0050007813338643955
RightTouchOrientationW_min,0.004929632900974093
HeadOrientationW_max,0.004803979766877001
LeftTouchPosY_mean,0.0047246888410975955
LeftTouchPosY_50%,0.004556847787624168
RightTouchOrientationY_25%,0.0044372275372255125
LeftTouchPosZ_75%,0.004379792350740761
RightTouchPosX_75%,0.004353799008847802
size_cumsum_50%,0.004351715937892468
distance_RightTouch_to_Head_75%,0.004184781978096108
LeftTouchPosX_50%,0.00416806504688474
HeadOrientationZ_25%,0.004164180055461258
HeadOrientationW_75%,0.004132407350742948
RightTouchOrientationY_min,0.004088643225490529
distance_LeftTouch_to_Head_50%,0.003993919640730172
RightTouchPosZ_75%,0.003944402223931286
HeadPosZ_25%,0.003939943580250397
LeftTouchOrientationW_25%,0.003887414611168334
HeadOrientationY_75%,0.003820085385404572
RightTouchOrientationW_mean,0.003797078657999704
Accel_HeadPosY_min,0.0037843777932648256
RightTouchOrientationY_75%,0.0037607843261639024
distance_LeftTouch_to_Head_75%,0.003749217776204585
HeadOrientationW_25%,0.003737728821446427
RightTouchPosY_max,0.003724943705364643
RightTouchOrientationX_50%,0.0037152600146311715
distance_RightTouch_to_Head_max,0.003677458095267717
RightTouchPosZ_max,0.0036475531683010168
HeadOrientationY_mean,0.003593130314281438
HeadOrientationZ_75%,0.0035864001186248174
HeadOrientationZ_50%,0.0035813872821353404
HeadOrientationY_50%,0.003573768549084667
Accel_RightTouchPosZ_std,0.003558035404643285
LeftTouchOrientationZ_50%,0.0035534403102515824
RightTouchPosZ_min,0.0035268445322321545
RightTouchPosY_50%,0.0034960377891304806
size_cumsum_min,0.0034924625356560117
LeftTouchPosZ_50%,0.0034632405628193053
RightTouchPosY_mean,0.003450762386761347
HeadOrientationZ_mean,0.0034426072733231314
RightTouchPosX_25%,0.0034071794614702433
RightTouchPosY_min,0.003403423173997097
Head_OrientationAccelY_25%,0.0033909918536731685
RightTouchOrientationW_25%,0.003346832934151917
LeftTouchOrientationZ_75%,0.003290382533658372
LeftTouchOrientationZ_25%,0.0032002115425647662
RightTouchPosX_min,0.003139912695975863
Head_OrientationAccelY_std,0.003134141954305847
RightTouchOrientationY_mean,0.0031162964232578525
LeftTouchPosZ_min,0.00311563034985478
LeftTouchOrientationW_50%,0.003101529516278521
RightTouchPosY_25%,0.0030869392578282253
Head_OrientationAccelZ_75%,0.0030003308195209123
LeftTouchOrientationW_75%,0.002993794348344836
size_cumsum_25%,0.0029517219893930562
Head_OrientationAccelZ_min,0.0029340561666174087
LeftTouchOrientationW_min,0.0029334276699413482
RightTouch_Velocity_std,0.002903975776238518
distance_RightTouch_to_Head_25%,0.002858430466978965
Accel_RightTouchPosY_min,0.0028424384934010987
Accel_HeadPosZ_max,0.002791429434586876
LeftTouchOrientationX_mean,0.0027312180517300596
HeadOrientationX_min,0.002703357661719883
Accel_RightTouchPosY_max,0.0026947957290227374
RightTouch_OrientationVelocityY_max,0.002684564363607349
Head_OrientationAccelY_75%,0.0026827260404654195
size_max,0.002649642596625699
HeadPosX_max,0.002648013558403675
RightTouchOrientationX_mean,0.002641156413064172
LeftTouchOrientationW_max,0.0026314723852710856
LeftTouchOrientationY_50%,0.0026172795480311974
LeftTouchPosY_max,0.00259992283148465
RightTouchPosZ_mean,0.00259299333851619
RightTouchOrientationY_std,0.002589576341564599
Accel_HeadPosZ_std,0.0025625933316039532
RightTouchOrientationX_min,0.0025617858884599788
RightTouch_Velocity_max,0.002532300025186378
LeftTouchOrientationW_mean,0.002523065819750969
Head_OrientationAccelY_min,0.002488844799331625
Accel_RightTouchPosZ_max,0.0024434239315366756
RightTouchPosX_max,0.0024371615551116214
HeadPosZ_max,0.002407257755832591
RightTouchPosZ_25%,0.002388386451839127
Accel_HeadPosX_25%,0.002343641006086953
HeadOrientationZ_min,0.002335967000136094
RightTouchOrientationX_max,0.0022898789898546114
size_rate_min,0.002255182776886417
LeftTouchOrientationX_25%,0.00224893047258686
RightTouchOrientationY_50%,0.0022212661689987655
packet_count_std,0.0021888493076028916
LeftTouchPosY_min,0.002158316308793732
LeftTouchOrientationY_25%,0.0021486832376203984
RightTouchPosZ_50%,0.002122094046830123
Head_OrientationAccelZ_max,0.002110727174876703
RightTouchOrientationW_std,0.002072511593473518
HeadOrientationY_max,0.0020643305125405426
LeftTouchPosX_min,0.0019864388193382636
Head_OrientationAccelZ_std,0.001981637965405642
RightTouchOrientationW_max,0.001977843966701367
Accel_HeadPosX_std,0.0019635297414762314
LeftTouch_OrientationVelocityZ_max,0.001948076898551459
Accel_HeadPosX_75%,0.0019118026763722982
Accel_HeadPosY_std,0.001910671670836681
Accel_HeadPosX_max,0.0018883662632459496
Accel_HeadPosY_25%,0.0018718943010407056
angle_LeftTouch_to_Head_75%,0.0018389937173616123
LeftTouchPosZ_max,0.0018281308506765276
LeftTouchPosX_75%,0.0018001032175349481
LeftTouchOrientationX_max,0.0017895466787871046
distance_LeftTouch_to_RightTouch_25%,0.0017836162610002507
angle_LeftTouch_to_Head_50%,0.0017453270621637209
HeadOrientationZ_max,0.0017355649685885865
Head_OrientationVelocityY_max,0.0017308889634505664
Accel_RightTouchPosX_std,0.0017137486354134918
angle_RightTouch_to_Head_50%,0.0016848011522702137
HeadPosX_50%,0.0016798941386955766
RightTouch_OrientationVelocityY_std,0.0016767040283455932
Head_OrientationVelocityZ_min,0.001647799748658694
distance_LeftTouch_to_Head_std,0.0016404841904121034
RightTouchPosY_75%,0.0016362588164377456
distance_LeftTouch_to_Head_min,0.0015846441325714326
Head_OrientationAccelX_max,0.0015844320672675327
Head_OrientationAccelX_25%,0.0015688065808475388
LeftTouch_OrientationVelocityY_min,0.0015433673937168787
RightTouch_Velocity_min,0.0015179849365252094
angle_LeftTouch_to_Head_mean,0.0015079115671483383
LeftTouchOrientationY_max,0.0014738556582976905
Accel_LeftTouchPosZ_std,0.0014686244948471517
Head_OrientationAccelZ_25%,0.0014425837355593303
Head_OrientationAccelX_min,0.0014410530287864965
Accel_HeadPosX_min,0.0014402589339752691
LeftTouchOrientationZ_max,0.001425642296162852
LeftTouch_OrientationVelocityX_min,0.0014107074488755643
Head_OrientationVelocityX_75%,0.001390379658164877
LeftTouchOrientationX_min,0.0013883139799702306
distance_LeftTouch_to_RightTouch_min,0.0013371718004938909
Accel_LeftTouchPosX_std,0.0013355389280471804
Head_OrientationAccelY_max,0.0013283562909955783
RightTouchOrientationZ_50%,0.0013189812475804996
Head_OrientationVelocityX_std,0.0012835589972594748
LeftTouch_OrientationAccelZ_max,0.0012607798104497148
Head_OrientationAccelX_75%,0.0012570092200793594
RightTouch_OrientationAccelY_max,0.001247588536401983
distance_LeftTouch_to_RightTouch_50%,0.0012416846302319158
angle_LeftTouch_to_Head_min,0.001241409460582507
Accel_RightTouchPosX_min,0.001233067711176977
distance_RightTouch_to_Head_std,0.0012212560366968016
LeftTouchOrientationX_std,0.0012167562411751582
RightTouch_OrientationAccelY_min,0.0012111204128416092
Velocity_HeadPosX_max,0.0011941245421987602
RightTouch_OrientationAccelY_std,0.0011804161127993771
LeftTouch_OrientationAccelZ_min,0.0011471353296345422
Velocity_RightTouchPosY_min,0.0011395688776023591
LeftTouchOrientationY_min,0.0011190156900094648
LeftTouchOrientationX_50%,0.0011059983046382935
HeadOrientationZ_std,0.0011033589829006394
Accel_LeftTouchPosZ_min,0.0010868726897386904
Head_Velocity_25%,0.0010840026357464192
RightTouch_OrientationAccelX_std,0.0010762382090413615
RightTouchOrientationX_25%,0.0010702111423882311
Accel_HeadPosZ_25%,0.0010702043161145557
Accel_HeadPosZ_min,0.0010657336324858214
Head_OrientationVelocityZ_max,0.0010619280594215603
Velocity_LeftTouchPosY_min,0.001051302830548747
angle_LeftTouch_to_RightTouch_75%,0.0010271679488508586
