Feature,Average_Importance
direction_count_ul,0.02204503973277158
size_rate_50%,0.017747550302720957
size_rate_25%,0.017386836291282303
size_rate_mean,0.01639187207549905
distance_LeftTouch_to_Head_max,0.015152898190498369
HeadOrientationX_75%,0.014897100124127023
size_mean,0.014435191176379354
HeadOrientationX_50%,0.014163416204621282
size_rate_std,0.013223914522724593
HeadOrientationX_25%,0.012874466075561619
direction_count_dl,0.01076460850649206
HeadOrientationX_mean,0.010042900780951304
distance_RightTouch_to_Head_mean,0.009936642712233167
size_std,0.009934639227416603
size_rate_75%,0.009791679907217637
distance_LeftTouch_to_Head_mean,0.009173226022985254
size_rate_max,0.008991396828882229
LeftTouchPosX_mean,0.008930140650220927
HeadOrientationY_25%,0.008425974233554852
HeadOrientationW_mean,0.008318962307039329
HeadPosZ_50%,0.00821336940731726
LeftTouchPosZ_mean,0.008199793743774648
HeadPosZ_min,0.00818672578955629
distance_LeftTouch_to_Head_25%,0.008076310068929756
LeftTouchOrientationY_75%,0.007712069469522451
distance_RightTouch_to_Head_50%,0.007538635540831642
HeadOrientationW_50%,0.007383206305137941
distance_RightTouch_to_Head_75%,0.007277172735865715
RightTouchPosX_50%,0.00699465482730541
RightTouchPosX_mean,0.006774254483374399
HeadPosZ_75%,0.0066071289288917295
RightTouchOrientationY_25%,0.006589249086361453
HeadOrientationY_min,0.006359695772061248
HeadOrientationX_max,0.0062541651792502005
LeftTouchPosX_25%,0.006239386441397894
RightTouchOrientationY_min,0.005967133100214437
HeadPosX_mean,0.005899133875172558
RightTouchOrientationW_50%,0.005656576096479959
HeadPosZ_mean,0.005626626334755242
LeftTouchPosZ_75%,0.0054262844022823125
HeadOrientationW_75%,0.005364796004396465
HeadPosZ_25%,0.005322328316603597
RightTouchPosX_25%,0.005164717554867303
RightTouchOrientationW_min,0.005142818892915533
LeftTouchPosX_max,0.005111233847089865
distance_LeftTouch_to_Head_50%,0.005083889449387777
RightTouchOrientationY_75%,0.005076778614064801
distance_LeftTouch_to_Head_75%,0.00491269901602713
HeadOrientationW_25%,0.004849145272393768
distance_RightTouch_to_Head_max,0.0048098016327021795
HeadOrientationY_50%,0.004757152619295103
RightTouchOrientationW_mean,0.004559354275554827
LeftTouchPosX_50%,0.004534213468462552
LeftTouchOrientationZ_50%,0.004512416381991106
