Feature,Average_Importance
HeadOrientationX_mean,0.013554210366035343
distance_RightTouch_to_Head_max,0.01350681190602744
HeadOrientationX_75%,0.012826503784926205
distance_LeftTouch_to_Head_50%,0.011706503853193575
HeadPosZ_75%,0.01095440804217559
HeadOrientationZ_50%,0.010575692069580204
HeadOrientationZ_mean,0.010513964791144298
HeadOrientationW_75%,0.0100293878294198
HeadPosZ_50%,0.009879617547117941
HeadOrientationX_50%,0.009800040476617316
HeadOrientationW_min,0.009180269694186727
HeadOrientationW_50%,0.008884435698115837
LeftTouchPosX_50%,0.008753705284726571
distance_LeftTouch_to_Head_max,0.00855618398132759
HeadOrientationX_25%,0.008525810960805617
HeadPosX_max,0.008503670883679117
LeftTouchPosZ_mean,0.008419526545389322
HeadOrientationW_25%,0.008413828825277454
RightTouchOrientationY_min,0.008314727880891241
distance_LeftTouch_to_Head_75%,0.008064994481348318
HeadOrientationY_mean,0.007983356520214974
LeftTouchOrientationW_min,0.007927275982368046
RightTouchOrientationW_min,0.007912944314960464
distance_LeftTouch_to_Head_25%,0.007854983030278885
LeftTouchPosZ_max,0.007773836127904345
distance_RightTouch_to_Head_50%,0.007409753226209802
LeftTouchPosZ_75%,0.0073969887825480075
distance_LeftTouch_to_Head_mean,0.007296043637066359
HeadPosX_mean,0.007195412638045047
HeadOrientationW_max,0.007085473126330532
RightTouchPosX_50%,0.007040455763120235
RightTouchPosZ_mean,0.007031832396826224
RightTouchOrientationY_mean,0.006927217254706939
RightTouchPosZ_25%,0.006920919536668295
LeftTouchPosX_75%,0.006776076016270081
HeadOrientationZ_25%,0.006723195959889325
HeadOrientationY_50%,0.0066952669774828595
HeadPosZ_min,0.006603931563810286
HeadPosX_min,0.006444548738796183
HeadOrientationY_25%,0.006292064056700909
HeadPosZ_25%,0.006273231775967818
HeadOrientationX_min,0.006229097941261786
HeadPosZ_max,0.006199826504894394
HeadOrientationY_max,0.006081887726047684
HeadOrientationZ_75%,0.005947075093934249
RightTouchPosZ_50%,0.0056595461191056295
LeftTouchPosZ_25%,0.005556547863071287
Head_OrientationAccelY_std,0.00539814825767228
RightTouchOrientationW_25%,0.00530411690340378
distance_RightTouch_to_Head_75%,0.005262240392852894
RightTouchOrientationX_mean,0.0051227395211040656
HeadOrientationX_max,0.005094391989205583
RightTouchPosX_75%,0.005091181872241849
distance_RightTouch_to_Head_25%,0.005068677731056291
