Feature,Average_Importance
LeftTouchPosZ_max,0.020254630999694226
HeadPosZ_75%,0.02010650935857843
LeftTouchPosX_50%,0.019099277814302682
RightTouchPosZ_mean,0.018869959545449465
HeadPosX_mean,0.0177431352845891
HeadOrientationW_min,0.017227261243833503
HeadPosX_max,0.01722296979767742
HeadPosZ_50%,0.017117684422966416
HeadPosY_50%,0.01652154140829831
HeadPosY_25%,0.016444593072300444
HeadPosY_mean,0.01605865889094451
HeadOrientationW_75%,0.015384438854971998
RightTouchPosZ_25%,0.015210779472738387
LeftTouchPosZ_75%,0.014750205067823654
HeadOrientationW_50%,0.014603486654308528
LeftTouchPosX_75%,0.013620182532230714
HeadPosX_min,0.013077422375169801
LeftTouchOrientationY_25%,0.012912960092163106
HeadPosX_50%,0.012341445106963438
HeadOrientationW_25%,0.011687339574920555
LeftTouchPosZ_mean,0.011524361013021425
RightTouchPosZ_50%,0.011459258264242251
HeadPosY_75%,0.011133908738182489
RightTouchPosX_50%,0.01062293899541538
RightTouchPosY_min,0.010536032000433118
HeadPosZ_max,0.0102929771843014
HeadPosY_max,0.01016292181437239
HeadPosX_75%,0.009877091633751726
LeftTouchPosX_mean,0.009633859264421746
LeftTouchPosX_max,0.009058849155527378
RightTouchOrientationY_mean,0.008736912249789919
HeadPosZ_25%,0.008591304413439466
LeftTouchPosX_25%,0.008488910582750316
HeadPosY_min,0.008409882991882854
RightTouchOrientationY_50%,0.008394022088377313
RightTouchPosY_25%,0.008379185321597366
LeftTouchOrientationY_min,0.00832139257892635
RightTouchOrientationZ_50%,0.008176996437310947
RightTouchPosZ_min,0.007942660403095636
HeadPosZ_min,0.007710252261678965
RightTouchPosZ_75%,0.00749046520531329
LeftTouchOrientationY_50%,0.007401263348244388
LeftTouchOrientationX_50%,0.0073687133459604025
LeftTouchPosZ_min,0.0072017279457839475
HeadPosX_25%,0.007183262247729489
HeadOrientationW_max,0.007105610010904847
RightTouchOrientationZ_75%,0.006972026175074356
LeftTouchOrientationY_mean,0.006951319532081903
RightTouchPosX_75%,0.006941383735600713
HeadOrientationW_mean,0.006890600678646003
RightTouchOrientationY_min,0.006788912280811279
HeadPosZ_mean,0.006776927273960122
RightTouchOrientationZ_25%,0.006508944620203356
RightTouchPosX_min,0.006461115188398457
RightTouchOrientationY_75%,0.006341802803228172
LeftTouchOrientationX_75%,0.0062746711032585735
