Feature,Average_Importance
LeftTouchPosX_mean,0.020733229989803353
HeadPosZ_min,0.01943046024656075
HeadPosZ_75%,0.01818276307756151
LeftTouchOrientationY_75%,0.01792403184423657
LeftTouchPosZ_mean,0.01713051062986744
HeadPosY_50%,0.016319090233636768
HeadPosX_mean,0.015004785772109418
HeadPosY_25%,0.014761970638662037
HeadPosZ_mean,0.014211612254572605
LeftTouchPosX_25%,0.013723222381839765
HeadPosY_mean,0.013701445904070098
HeadOrientationW_mean,0.01356053021914002
HeadPosY_max,0.013289314516004102
HeadOrientationW_50%,0.013237289358990285
direction_count_ul,0.012834841153671122
RightTouchPosX_50%,0.012486658641117665
HeadPosY_75%,0.01182013796753174
RightTouchOrientationY_75%,0.011787886074323498
RightTouchPosX_mean,0.01111256342263743
RightTouchPosZ_max,0.010817765822516723
HeadOrientationW_75%,0.01043270292128045
LeftTouchPosX_max,0.010399665728063345
HeadPosX_75%,0.010243339903097122
LeftTouchPosZ_75%,0.010202623097728838
RightTouchOrientationY_25%,0.010131364319952069
HeadPosX_25%,0.010025114780477391
RightTouchPosX_25%,0.009739693734688106
RightTouchPosX_min,0.009669227029115442
HeadPosZ_50%,0.009543437838861003
HeadOrientationW_min,0.009424612328400908
RightTouchPosZ_75%,0.009278257726678297
RightTouchPosY_min,0.00919463455432642
LeftTouchOrientationY_50%,0.00918229458440085
HeadOrientationW_25%,0.008743184272480137
LeftTouchPosZ_50%,0.008450808949162003
RightTouchPosZ_50%,0.007848776739293342
HeadPosY_min,0.007731918065275219
RightTouchPosZ_25%,0.007694890248529257
HeadPosX_min,0.00765453723216351
size_rate_25%,0.007560026109224664
size_rate_50%,0.007515144934475137
LeftTouchOrientationX_25%,0.0074311080370493745
LeftTouchOrientationY_25%,0.007380961965914648
size_mean,0.007357518903470085
HeadOrientationW_max,0.007139287564561257
size_rate_max,0.007022027413631052
HeadOrientationX_25%,0.006978056224144207
HeadOrientationX_75%,0.006790348878761235
LeftTouchPosZ_25%,0.006789328621660022
HeadPosZ_25%,0.00662030389748588
size_rate_mean,0.006576202218897556
