Feature,Average_Importance
LeftTouchPosX_mean,0.022636806367092692
HeadPosZ_min,0.022449879193377355
LeftTouchOrientationY_75%,0.021896693411125996
HeadPosZ_75%,0.021822803822642563
LeftTouchPosZ_mean,0.017958607125647816
HeadPosZ_mean,0.01659426857234073
LeftTouchPosX_25%,0.016384978140221277
HeadPosX_mean,0.015722291166253698
RightTouchPosZ_max,0.014336867505052734
HeadOrientationW_mean,0.014334324773488567
HeadOrientationW_50%,0.013978950260704719
HeadPosZ_50%,0.012773243820279109
HeadPosX_25%,0.01268524224151538
RightTouchPosX_50%,0.012596460976630888
direction_count_ul,0.012413077666586734
RightTouchOrientationY_75%,0.012009029577414797
RightTouchPosX_25%,0.011931605862351596
LeftTouchPosZ_75%,0.011874789206539118
LeftTouchPosX_max,0.011862491601845092
HeadOrientationW_75%,0.011641331737572123
RightTouchPosX_mean,0.010739458742389525
RightTouchPosZ_75%,0.01071112718284626
RightTouchPosX_min,0.010664992437200553
HeadPosX_75%,0.010506270861484725
size_rate_50%,0.009833808322324316
LeftTouchPosZ_50%,0.009789116926494217
RightTouchPosZ_mean,0.008981122287373917
size_rate_max,0.008484930704727939
size_rate_25%,0.008444717191151902
HeadOrientationX_75%,0.008270578977397653
HeadPosZ_25%,0.008221549349906798
RightTouchPosZ_50%,0.008194116965167716
LeftTouchOrientationY_50%,0.008152675297151683
HeadOrientationW_min,0.008110889693702982
RightTouchOrientationY_25%,0.008080457665670221
LeftTouchPosZ_25%,0.008069963090307037
RightTouchPosZ_25%,0.00804017618283033
HeadPosX_min,0.008004200102915221
RightTouchPosZ_min,0.00770600174429817
HeadOrientationX_25%,0.0076437406046364585
LeftTouchPosX_50%,0.007567600403551359
LeftTouchOrientationY_25%,0.007497184206760478
RightTouchOrientationZ_50%,0.0074193096353686195
size_mean,0.007413699336285396
size_rate_mean,0.007393390223128755
HeadOrientationW_max,0.007173456610072628
HeadOrientationW_25%,0.0070751755642583436
LeftTouchOrientationX_25%,0.006932732901246272
HeadOrientationY_25%,0.006864277445752309
LeftTouchPosX_min,0.006677010184583766
RightTouchOrientationW_50%,0.006624919229425138
HeadOrientationX_50%,0.006567006253774044
RightTouchOrientationX_min,0.0064794516440278135
LeftTouchOrientationX_mean,0.006386403198260309
HeadPosZ_max,0.005994633175822847
HeadOrientationX_max,0.0059523083899786534
size_rate_75%,0.00593517524728838
LeftTouchOrientationZ_75%,0.005895072736062126
LeftTouchOrientationY_mean,0.005684582260328695
RightTouchOrientationZ_75%,0.0056128083473129305
LeftTouchOrientationW_max,0.0055979042680944875
HeadOrientationY_75%,0.005509594335591335
RightTouchPosX_max,0.005443577013373902
LeftTouchPosZ_max,0.005425287885103185
LeftTouchOrientationY_min,0.005228047065081853
direction_count_dl,0.0052005115861179126
RightTouchOrientationZ_mean,0.005185602934279176
LeftTouchOrientationZ_50%,0.005124207733840635
size_rate_std,0.005114876857084155
HeadOrientationX_mean,0.004982265569627816
HeadPosX_max,0.00492714370589487
HeadOrientationY_min,0.004809424526048519
LeftTouchPosX_75%,0.004652708441890513
RightTouchOrientationY_mean,0.004560888829139528
RightTouchOrientationX_50%,0.004506644500079
RightTouchOrientationY_min,0.004485883286976228
LeftTouchPosZ_min,0.00433939482967405
distance_RightTouch_to_Head_75%,0.004272609497178127
size_std,0.004218993365883994
RightTouchOrientationZ_max,0.00419539581067387
RightTouchPosX_75%,0.00415319264099268
LeftTouchOrientationY_max,0.004121759009870476
RightTouchOrientationZ_25%,0.004088651295350968
RightTouchOrientationY_50%,0.004082556991814773
LeftTouchOrientationZ_25%,0.004039415241213698
HeadPosX_50%,0.003951452871739141
HeadOrientationY_50%,0.003938376143497182
RightTouchOrientationW_max,0.003927398793554341
LeftTouchOrientationX_50%,0.003873211164600246
size_cumsum_min,0.0036887264813092206
RightTouchOrientationW_min,0.003639242211044365
RightTouchOrientationW_mean,0.0036028368742068812
LeftTouchOrientationZ_mean,0.0035240247326216194
LeftTouchOrientationX_min,0.003343277617020954
LeftTouchOrientationX_max,0.0032415124466682386
HeadOrientationZ_50%,0.003191801155747646
LeftTouchOrientationX_75%,0.003135585083710643
size_cumsum_50%,0.0030646841143570688
HeadOrientationY_mean,0.003060892815350105
HeadOrientationZ_mean,0.0030049182246944003
distance_RightTouch_to_Head_50%,0.0030011290167097134
RightTouchOrientationX_mean,0.0029873522660104446
distance_RightTouch_to_Head_mean,0.0029702841735248313
distance_LeftTouch_to_Head_mean,0.002958344119659605
LeftTouchOrientationZ_max,0.002943774655774956
distance_LeftTouch_to_Head_25%,0.002881009756369463
HeadOrientationZ_75%,0.0028554804830016977
RightTouchOrientationZ_min,0.0025473715638909505
HeadOrientationZ_25%,0.002542049219712351
HeadOrientationX_min,0.002467283656167844
RightTouchOrientationY_max,0.0023367195993430324
LeftTouchOrientationW_25%,0.0023264278548851855
HeadOrientationZ_min,0.002219150272909832
distance_LeftTouch_to_Head_50%,0.0022163290064640836
angle_LeftTouch_to_RightTouch_mean,0.002198158806154388
LeftTouchOrientationW_50%,0.002174315695139964
angle_LeftTouch_to_Head_min,0.0021406163972200027
size_cumsum_25%,0.0020268053648711997
LeftTouchOrientationW_75%,0.0019964169686973623
Accel_RightTouchPosX_75%,0.0019113468692063798
RightTouchOrientationX_75%,0.0018702325526283661
RightTouchOrientationW_25%,0.0017858660750267135
Head_OrientationAccelY_25%,0.001762298500842596
distance_RightTouch_to_Head_25%,0.001677740228661525
Head_OrientationAccelY_75%,0.0016698229399536033
RightTouch_OrientationAccelX_25%,0.0016570252662610966
RightTouch_OrientationAccelY_25%,0.001603651628735342
size_rate_min,0.001588865022170305
LeftTouchOrientationZ_min,0.0015633022776974548
distance_RightTouch_to_Head_max,0.0015491802019540477
Accel_RightTouchPosY_75%,0.001525414878623671
angle_RightTouch_to_Head_75%,0.001479809186428817
Head_OrientationAccelX_25%,0.0014554780105799556
HeadOrientationY_max,0.0014360253234205781
Velocity_RightTouchPosX_75%,0.001429348941819214
angle_LeftTouch_to_Head_75%,0.0013791955294478017
