Feature,Average_Importance
HeadPosZ_75%,0.022490897123536836
LeftTouchPosZ_max,0.022237057619574754
LeftTouchPosX_50%,0.021624754805399982
HeadPosX_mean,0.02021923409086694
RightTouchPosZ_mean,0.020118759049626213
HeadOrientationW_min,0.019878785225072745
HeadPosX_max,0.01937235900204749
HeadPosZ_50%,0.018130484295913258
LeftTouchOrientationY_25%,0.017068488377552028
HeadOrientationW_75%,0.017024835898648605
LeftTouchPosX_75%,0.01571979311081976
HeadOrientationW_50%,0.01501411834740025
RightTouchPosZ_25%,0.014680954102541392
LeftTouchPosZ_75%,0.014668779140245641
HeadOrientationW_25%,0.01383659433864321
HeadPosX_50%,0.013763297631801076
HeadPosX_min,0.012623425774052698
LeftTouchOrientationY_min,0.012444929409812212
RightTouchPosZ_50%,0.011882704492912743
LeftTouchPosZ_mean,0.011780468716895177
RightTouchPosX_50%,0.011297325220810717
LeftTouchOrientationY_50%,0.01119859035525634
RightTouchOrientationY_mean,0.011178796477079147
LeftTouchPosX_max,0.0110770896535875
HeadPosX_75%,0.010653876066918437
LeftTouchOrientationX_50%,0.010591352971546071
LeftTouchPosX_mean,0.010435099062093008
HeadPosZ_max,0.009867121080588159
LeftTouchOrientationX_75%,0.009855684597248011
HeadPosZ_min,0.009648653625653278
HeadPosZ_25%,0.009551993833602453
RightTouchOrientationZ_50%,0.0091194169070166
LeftTouchOrientationY_mean,0.008966786172085513
HeadPosZ_mean,0.008846098101657495
RightTouchPosZ_75%,0.008776941545026699
HeadOrientationW_max,0.008557937278073224
RightTouchPosZ_min,0.008547848609626775
RightTouchOrientationZ_75%,0.008213954121922341
LeftTouchPosX_25%,0.008198422630271223
RightTouchOrientationY_50%,0.007919730537536567
RightTouchPosX_min,0.007890087167633186
RightTouchPosX_25%,0.007884547053619717
RightTouchPosX_75%,0.007810578272066327
HeadOrientationW_mean,0.007498637319057187
HeadPosX_25%,0.007282718521548186
LeftTouchOrientationY_75%,0.0070715406562075755
LeftTouchOrientationX_mean,0.0065515343800673104
RightTouchPosZ_max,0.006547728833611965
RightTouchOrientationZ_25%,0.0065419714699297095
RightTouchOrientationW_25%,0.006522801268693443
LeftTouchOrientationX_25%,0.0065011603731977684
RightTouchOrientationY_min,0.006446690044726824
RightTouchOrientationX_min,0.006229411467288259
RightTouchOrientationY_max,0.005973611337952637
RightTouchOrientationY_75%,0.005966127121449242
LeftTouchPosZ_min,0.005624811405226434
HeadOrientationX_mean,0.005590468524726415
HeadOrientationZ_50%,0.005568652527013917
RightTouchOrientationX_75%,0.005533379946066325
LeftTouchOrientationZ_75%,0.005488269040078794
HeadOrientationZ_mean,0.005277412216538759
LeftTouchPosX_min,0.005121679716276778
RightTouchPosX_max,0.0050696515668992356
RightTouchOrientationZ_max,0.005027508575162415
LeftTouchOrientationZ_mean,0.0047453925309923865
RightTouchOrientationX_mean,0.0047047405292852335
HeadOrientationX_75%,0.0046913994060327315
distance_LeftTouch_to_Head_25%,0.004686625337997036
RightTouchOrientationW_min,0.004637572703146417
LeftTouchOrientationZ_min,0.004589971547660321
HeadOrientationX_25%,0.0045374223800559174
HeadOrientationX_min,0.004342569210945847
RightTouchOrientationZ_mean,0.004276956581711662
HeadOrientationZ_75%,0.004198351454600793
HeadOrientationX_50%,0.004138902274487966
distance_RightTouch_to_Head_max,0.004026067789417215
HeadOrientationZ_25%,0.003992132058832594
RightTouchOrientationX_50%,0.003927681146455933
RightTouchOrientationX_25%,0.0037858801217886214
RightTouchPosX_mean,0.003644808140621119
LeftTouchPosZ_25%,0.003594934878066776
HeadOrientationZ_max,0.003557261223052119
LeftTouchOrientationW_max,0.003310638637868336
RightTouchOrientationW_mean,0.0032969958759919774
LeftTouchOrientationZ_50%,0.003245516926739814
RightTouchOrientationX_max,0.003225289241670085
distance_LeftTouch_to_Head_50%,0.003204680027461254
LeftTouchOrientationW_50%,0.0031693523078148403
RightTouchOrientationW_max,0.0031578473845761883
HeadOrientationY_mean,0.0031511124882879723
LeftTouchOrientationZ_max,0.0030687335732427798
HeadOrientationY_50%,0.003053356814648946
RightTouchOrientationY_25%,0.002902505254109813
LeftTouchOrientationX_max,0.002760074554604171
distance_RightTouch_to_Head_50%,0.002679957714928851
distance_RightTouch_to_Head_25%,0.0026538188105736213
distance_LeftTouch_to_Head_mean,0.002554666544712812
LeftTouchOrientationY_max,0.002506602053724037
distance_RightTouch_to_Head_75%,0.002470846017498385
Head_OrientationAccelX_25%,0.002464293526637543
distance_LeftTouch_to_Head_min,0.002415245878888301
RightTouchOrientationZ_min,0.0024064351816500116
angle_RightTouch_to_Head_min,0.00233227290879857
angle_RightTouch_to_Head_mean,0.0023183172592575805
LeftTouchOrientationW_75%,0.0022857397869009643
LeftTouchPosZ_50%,0.0022579617682853916
distance_RightTouch_to_Head_min,0.0021478677115225743
HeadOrientationY_25%,0.0021183445334425257
LeftTouchOrientationW_mean,0.002109663293206186
LeftTouchOrientationW_min,0.0021071970527281694
HeadOrientationY_max,0.0020955639504822133
angle_LeftTouch_to_Head_max,0.0020414216044325633
angle_LeftTouch_to_Head_25%,0.0020387290910511254
LeftTouchOrientationX_min,0.0020250221122692647
HeadOrientationX_max,0.0019965515714947626
angle_LeftTouch_to_Head_min,0.0019839009509480224
RightTouchOrientationW_50%,0.0018989347128400937
Velocity_RightTouchPosY_std,0.0018892641618927027
angle_LeftTouch_to_Head_mean,0.00175722561423321
LeftTouchPosY_mean,0.0017384412097376243
HeadOrientationY_min,0.0017222422159008331
HeadOrientationY_75%,0.001589926247131667
distance_LeftTouch_to_Head_75%,0.0015769660208019216
RightTouchOrientationW_75%,0.0015351592833198382
distance_RightTouch_to_Head_mean,0.0015091941154840647
angle_LeftTouch_to_RightTouch_max,0.0014494989476593369
Head_OrientationAccelX_std,0.001407174014002236
angle_LeftTouch_to_RightTouch_25%,0.001372738921935851
LeftTouchOrientationZ_25%,0.0013642070117120763
Head_OrientationAccelZ_75%,0.001356056751950064
LeftTouchOrientationW_25%,0.001287338170723197
HeadOrientationZ_min,0.001263130045739601
Head_OrientationAccelY_25%,0.0012462738518125263
angle_LeftTouch_to_RightTouch_75%,0.0012356701251946794
angle_LeftTouch_to_Head_50%,0.001235292566979871
RightTouch_OrientationAccelZ_75%,0.0011488869297244949
angle_RightTouch_to_Head_25%,0.0011229060949329353
RightTouch_OrientationAccelZ_25%,0.0011109097191694384
LeftTouch_OrientationAccelY_75%,0.001099852815288341
